Unnamed: 0,Clothing ID,Age,Title,Review Text_x,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Sentiment,Review Text_y,Original Rating,Predicted Sentiment,Predicted Sentiment Label
10,1077,53,Dress looks like it's made of cheap material,Dress run small esp zipper area run ordered sp typically fit tight material top look feel cheap even pulling cause rip fabric pretty disappointed going christmas dress year needle say going back,3,0,14,General,Dresses,Dresses,0,Dress run small esp zipper area run ordered sp typically fit tight material top look feel cheap even pulling cause rip fabric pretty disappointed going christmas dress year needle say going back,3,1,Positive
11,1095,39,,This dress perfection pretty flattering,5,1,2,General Petite,Dresses,Dresses,1,This dress perfection pretty flattering,5,1,Positive
12,1095,53,Perfect!!!,More find reliant review written savvy shopper past right estimation product case dressif reveiwsi doubt would even tried dress beautifully made lined reminiscent old retailer quality lined solid periwinklecolored fabric match outer fabric print tt formfitting fall knee rid,5,1,2,General Petite,Dresses,Dresses,1,More find reliant review written savvy shopper past right estimation product case dressif reveiwsi doubt would even tried dress beautifully made lined reminiscent old retailer quality lined solid periwinklecolored fabric match outer fabric print tt formfitting fall knee rid,5,1,Positive
13,767,44,Runs big,Bought black x go larkspur midi dress didnt bother lining skirt portion grrrrrrrrrrr stats x fit smoothly around chest flowy around lower half would say running big strap pretty could easily nightwear im came knee,5,1,0,Initmates,Intimate,Intimates,1,Bought black x go larkspur midi dress didnt bother lining skirt portion grrrrrrrrrrr stats x fit smoothly around chest flowy around lower half would say running big strap pretty could easily nightwear im came knee,5,1,Positive
14,1077,50,Pretty party dress with some issues,This nice choice holiday gathering like length graz knee conservative enough office related gathering size small fit well usually size small bust opinion run small larger bust definitely size perhaps waist big problem dress quality fabric terrible delicate netting type fabric top layer skirt got stuck zip,3,1,1,General,Dresses,Dresses,0,This nice choice holiday gathering like length graz knee conservative enough office related gathering size small fit well usually size small bust opinion run small larger bust definitely size perhaps waist big problem dress quality fabric terrible delicate netting type fabric top layer skirt got stuck zip,3,-1,Negative
15,1065,47,"Nice, but not for my body",I took package wanted fit badly could tell put wouldnt hourglass figure straight waist way small body shape even sized could tell would still tight waist roomy hip said really nice sturdy linenlike fabric pretty color well made hope make someone happy,4,1,3,General,Bottoms,Pants,1,I took package wanted fit badly could tell put wouldnt hourglass figure straight waist way small body shape even sized could tell would still tight waist roomy hip said really nice sturdy linenlike fabric pretty color well made hope make someone happy,4,1,Positive
16,1065,34,"You need to be at least average height, or taller",Material color nice leg opening large length hit right ankle leg opening size waist hem line ankle front pleat make fluffy think imagine flattering look least average height taller may look good,3,1,2,General,Bottoms,Pants,0,Material color nice leg opening large length hit right ankle leg opening size waist hem line ankle front pleat make fluffy think imagine flattering look least average height taller may look good,3,1,Positive
17,853,41,Looks great with white pants,Took chance blouse glad wasnt crazy blouse photographed model paired whit white pant worked perfectly crisp clean would describe launders well fit great drape perfect wear tucked cant go wrong,5,1,0,General,Tops,Blouses,1,Took chance blouse glad wasnt crazy blouse photographed model paired whit white pant worked perfectly crisp clean would describe launders well fit great drape perfect wear tucked cant go wrong,5,1,Positive
18,1120,32,Super cute and cozy,A flattering super cozy coat work well cold dry day look good jean dressier outfit small fit great,5,1,0,General,Jackets,Outerwear,1,A flattering super cozy coat work well cold dry day look good jean dressier outfit small fit great,5,1,Positive
19,1077,47,Stylish and comfortable,I love look feel tulle dress looking something different top new year eve im small chested top dress form fitting flattering look steamed tulle perfect ordered xsp length perfect,5,1,0,General,Dresses,Dresses,1,I love look feel tulle dress looking something different top new year eve im small chested top dress form fitting flattering look steamed tulle perfect ordered xsp length perfect,5,1,Positive
20,847,33,"Cute, crisp shirt",If product petite would get petite regular little long tailor simple fix fit nicely im lb pregnant bough medium grow tie front back provides nice flexibility form fitting,4,1,2,General,Tops,Blouses,1,If product petite would get petite regular little long tailor simple fix fit nicely im lb pregnant bough medium grow tie front back provides nice flexibility form fitting,4,1,Positive
21,1080,55,I'm torn!,Im upset price dress thought embroidered print fabric think cried little opened box still ver pretty would say true size tad bit big tiny still get away color vibrant style unique skirt portion pretty poofy keep going back forth mainly price although quality definitely except wish emb,4,1,14,General,Dresses,Dresses,1,Im upset price dress thought embroidered print fabric think cried little opened box still ver pretty would say true size tad bit big tiny still get away color vibrant style unique skirt portion pretty poofy keep going back forth mainly price although quality definitely except wish emb,4,1,Positive
22,1077,31,Not what it looks like,First pullover styling side zipper wouldnt purchased knew side zipper large bust side zipper next impossible second tulle feel look cheap slip awkward tight shape underneath look like described sadly returning im sure find something exchange,2,0,7,General,Dresses,Dresses,-1,First pullover styling side zipper wouldnt purchased knew side zipper large bust side zipper next impossible second tulle feel look cheap slip awkward tight shape underneath look like described sadly returning im sure find something exchange,2,1,Positive
23,1077,34,"Like it, but don't love it.",Cute little dress fit tt little high waisted good length height like dress im love dont think look feel cheap appears pictured,3,1,0,General,Dresses,Dresses,0,Cute little dress fit tt little high waisted good length height like dress im love dont think look feel cheap appears pictured,3,1,Positive
24,847,55,Versatile,I love shirt first saw wasnt sure shirt dress since seethrough wear like dress need slip wear legging bought slip wore tie back rocked white wedge could also wear vest careful button havent fall yet feel like overall great occasion fun wear,5,1,0,General,Tops,Blouses,1,I love shirt first saw wasnt sure shirt dress since seethrough wear like dress need slip wear legging bought slip wore tie back rocked white wedge could also wear vest careful button havent fall yet feel like overall great occasion fun wear,5,1,Positive
25,697,31,Falls flat,Loved material didnt really look long dress purchased large medium im atleast material foot gap front much wider look felt like dress fell flat returned im usually large med fit better jean,3,0,0,Initmates,Intimate,Lounge,0,Loved material didnt really look long dress purchased large medium im atleast material foot gap front much wider look felt like dress fell flat returned im usually large med fit better jean,3,1,Positive
26,949,33,Huge disappointment,I waiting sweater coat ship week excited arrive coat true size made look short squat sleeve wide although long light weight fall coat sleeve dont need wide wouldnt layerng much underneath button need moved least three inch nicer fit thought redoing button sleeve looked even proportion tigh,2,0,0,General,Tops,Sweaters,-1,I waiting sweater coat ship week excited arrive coat true size made look short squat sleeve wide although long light weight fall coat sleeve dont need wide wouldnt layerng much underneath button need moved least three inch nicer fit thought redoing button sleeve looked even proportion tigh,2,1,Positive
27,1003,31,"Loved, but returned",The color werent expected either dark blue much vibrant couldnt find anything really go fabric thick good quality nice weight movement skirt wasnt end,4,1,0,General,Bottoms,Skirts,1,The color werent expected either dark blue much vibrant couldnt find anything really go fabric thick good quality nice weight movement skirt wasnt end,4,1,Positive
28,684,53,Great shirt!!!,I several goodhyouman shirt get many compliment especially one say forehead kiss underrated dont hesitate buy shirt wont sorry,5,1,2,Initmates,Intimate,Lounge,1,I several goodhyouman shirt get many compliment especially one say forehead kiss underrated dont hesitate buy shirt wont sorry,5,1,Positive
29,4,28,Great layering piece,This sweater comfy classic balance quirky handknit look beautiful color practical fit bit cropped boxy part style others mentioned gap knit make seethrough opinion make perfect layering like longer camisole showing underneath wearing little dress warm still thin enough fit jacket coat,5,1,0,General,Tops,Sweaters,1,This sweater comfy classic balance quirky handknit look beautiful color practical fit bit cropped boxy part style others mentioned gap knit make seethrough opinion make perfect layering like longer camisole showing underneath wearing little dress warm still thin enough fit jacket coat,5,1,Positive
30,1060,33,,Beautifully made pant trend flared crop much cuter person love,5,1,0,General Petite,Bottoms,Pants,1,Beautifully made pant trend flared crop much cuter person love,5,1,Positive
31,1060,46,Cuter in oerson!,I never would given pant second look online person much cuter stripe brighter fit flattering crop cute flare right trend brand always run small lb carry chubbiness belly paired collarless loose navy blazer,5,1,7,General Petite,Bottoms,Pants,1,I never would given pant second look online person much cuter stripe brighter fit flattering crop cute flare right trend brand always run small lb carry chubbiness belly paired collarless loose navy blazer,5,1,Positive
32,1060,21,Love these pants,These pant even better person downside need dry cleaned,5,1,0,General Petite,Bottoms,Pants,1,These pant even better person downside need dry cleaned,5,1,Positive
33,949,36,Mehh,I ordered month ago finally came back order huge disappointment fit wasnt much issue quality wool subpar someone else mentioned quotfelted woolquoti guess call literally feel like felt super thin itchy doesnt drape well feel cheap made china got sale still worth paid definitely going back,2,0,0,General,Tops,Sweaters,-1,I ordered month ago finally came back order huge disappointment fit wasnt much issue quality wool subpar someone else mentioned quotfelted woolquoti guess call literally feel like felt super thin itchy doesnt drape well feel cheap made china got sale still worth paid definitely going back,2,1,Positive
34,697,39,Love this dress!,This neat dress color great fabric super soft tall long length added bonus definitely need something underneath since front gap going pair funky tank top necklace boot super cute,5,1,0,Initmates,Intimate,Lounge,1,This neat dress color great fabric super soft tall long length added bonus definitely need something underneath since front gap going pair funky tank top necklace boot super cute,5,1,Positive
35,1060,65,Lovely!,Wouldnt given second look tried store whim love love,4,1,3,General Petite,Bottoms,Pants,1,Wouldnt given second look tried store whim love love,4,1,Positive
36,1002,29,,This comfortable skirt span season easily exciting design good work skirt paired many top,4,1,5,General,Bottoms,Skirts,1,This comfortable skirt span season easily exciting design good work skirt paired many top,4,1,Positive
37,949,38,Beautifully cut lightweight coat,Just ordered small size medium mom size gorgeous beautifully draped weightwarmth ill need houston fall winter look polished snapped unsnapped ageappropriate mom look amazing skinny jean legging ordered gray true photo,5,1,1,General,Tops,Sweaters,1,Just ordered small size medium mom size gorgeous beautifully draped weightwarmth ill need houston fall winter look polished snapped unsnapped ageappropriate mom look amazing skinny jean legging ordered gray true photo,5,1,Positive
38,684,36,,Super cute comfy pull sizing accurate material little bit stretch,5,1,2,Initmates,Intimate,Lounge,1,Super cute comfy pull sizing accurate material little bit stretch,5,1,Positive
39,862,59,,Great casual top flare look cute grey pilcro stet jean flattering peplum back nice cut shoulder neckline,5,1,0,General,Tops,Knits,1,Great casual top flare look cute grey pilcro stet jean flattering peplum back nice cut shoulder neckline,5,1,Positive
40,862,47,,Pretty unique great jean worn work slack heel color print embroidery lovely reasonably priced,4,1,1,General,Tops,Knits,1,Pretty unique great jean worn work slack heel color print embroidery lovely reasonably priced,4,1,Positive
41,862,40,,This beautiful top unique ordinary bought usual medium found fit tight across chest although baby year nursing could bought would size,5,1,0,General,Tops,Knits,1,This beautiful top unique ordinary bought usual medium found fit tight across chest although baby year nursing could bought would size,5,1,Positive
42,910,23,Soft & lovely,This poncho cute love plaid check design color look like sorbet cream pair well turtleneck jean pencil skirt heel love look fall roll right spring great buy,5,1,0,General,Tops,Fine gauge,1,This poncho cute love plaid check design color look like sorbet cream pair well turtleneck jean pencil skirt heel love look fall roll right spring great buy,5,1,Positive
43,89,67,Some things you should know...,First thermal naturally didnt expect super sheer really sheer light fabric like prepared considering might run walk around house second large ordered size nice oversized fit pound wouldnt want go larger along sheer fabric easily stretched dont mind case finally color look white monitor show colorful blue dot,4,1,1,Initmates,Intimate,Sleep,1,First thermal naturally didnt expect super sheer really sheer light fabric like prepared considering might run walk around house second large ordered size nice oversized fit pound wouldnt want go larger along sheer fabric easily stretched dont mind case finally color look white monitor show colorful blue dot,4,-1,Negative
44,862,48,Beautiful!,Tried today local retailer comfortable flattering bad picture online model tucking skirt cant see ruching across front little dressier alternative plain tee reasonably priced retailer generally wear small fit well probably back black,5,1,9,General,Tops,Knits,1,Tried today local retailer comfortable flattering bad picture online model tucking skirt cant see ruching across front little dressier alternative plain tee reasonably priced retailer generally wear small fit well probably back black,5,1,Positive
45,862,43,Love the two tone design,I bought item online fit model looked little loose got mine seemed bit tight took back store ordered larger size sale price great top,4,1,0,General,Tops,Knits,1,I bought item online fit model looked little loose got mine seemed bit tight took back store ordered larger size sale price great top,4,1,Positive
46,862,40,,I love top wear time problem tell wear time fabric started fade id still recommend comfortable,5,1,0,General,Tops,Knits,1,I love top wear time problem tell wear time fabric started fade id still recommend comfortable,5,1,Positive
47,823,52,,Very comfortable material good cut sleeve flattering,5,1,0,General,Tops,Blouses,1,Very comfortable material good cut sleeve flattering,5,1,Positive
48,910,56,Love the color!,This sweater perfect fallits roomy warm super comfy color really pop,5,1,0,General,Tops,Fine gauge,1,This sweater perfect fallits roomy warm super comfy color really pop,5,1,Positive
49,862,33,Love the embroidery!,Really cute top embroidery collar bib top beautiful unique received lot compliment question got im rather busty top medium fit well small probably wouldve fit better still super adorable,5,1,0,General,Tops,Knits,1,Really cute top embroidery collar bib top beautiful unique received lot compliment question got im rather busty top medium fit well small probably wouldve fit better still super adorable,5,1,Positive
50,862,46,Cute for fall,This cute top transition easily summer fall fit well nice print comfortable tried store purchase color washed best color blonde would look much better brunette different color likely would purchased,4,1,1,General,Tops,Knits,1,This cute top transition easily summer fall fit well nice print comfortable tried store purchase color washed best color blonde would look much better brunette different color likely would purchased,4,1,Positive
51,862,41,Love,I absolutely love bib tee probably favorite retailer purchase time im pound small perfect fit typically wear either top,5,1,2,General,Tops,Knits,1,I absolutely love bib tee probably favorite retailer purchase time im pound small perfect fit typically wear either top,5,1,Positive
52,1104,39,,Love color style material snag easily,3,1,3,General,Dresses,Dresses,0,Love color style material snag easily,3,1,Positive
53,862,39,Flattering and comfortable,Very soft comfortable shirt unusual asymmetrical seam appears along front righthand side garment model positioned cant see detail picture attached picture includes front seam actually like seam creates visual interest add little bit ruching help hide belly cowl neck well done two layer form cowl ive found mean wardrobe malfun,5,1,34,General,Tops,Knits,1,Very soft comfortable shirt unusual asymmetrical seam appears along front righthand side garment model positioned cant see detail picture attached picture includes front seam actually like seam creates visual interest add little bit ruching help hide belly cowl neck well done two layer form cowl ive found mean wardrobe malfun,5,1,Positive
54,862,66,Cute top,Nice top armhole bit oversized older woman im picky print pretty unusual didnt look great there slight peplum back hang nicely lightweight tee fabric thats opaque tried black bra barely visible great warmer climate many gorgeous top decided return since summer winding recommend,4,1,2,General,Tops,Knits,1,Nice top armhole bit oversized older woman im picky print pretty unusual didnt look great there slight peplum back hang nicely lightweight tee fabric thats opaque tried black bra barely visible great warmer climate many gorgeous top decided return since summer winding recommend,4,1,Positive
55,862,61,Soft and cute as can be!,This adorable top find extremely comfortable dont usually buy print one feminine look great dark wash jean medium perfect fit,5,1,2,General,Tops,Knits,1,This adorable top find extremely comfortable dont usually buy print one feminine look great dark wash jean medium perfect fit,5,1,Positive
56,368,33,,I pregnant thought would great sleep bra soft fit okay zero support shape would buy b cup smaller get away without support would seen store would passed however lazy return wearing comfortable thats redeeming quality would recommend larger chested lady though,2,0,3,Initmates,Intimate,Intimates,-1,I pregnant thought would great sleep bra soft fit okay zero support shape would buy b cup smaller get away without support would seen store would passed however lazy return wearing comfortable thats redeeming quality would recommend larger chested lady though,2,1,Positive
57,862,31,"Boring front, great back",This tank fit well loved ruffle back layed front good look retuning,3,0,0,General,Tops,Knits,0,This tank fit well loved ruffle back layed front good look retuning,3,1,Positive
58,1095,36,,I got petite length size fit right like didnt altered length wear flat plenty clearance floor bottom hem beef design height waist personally think elastic waistband look cheap really need concealed belt yet sits high literally right bustline tricky one pull wide belt sort th,4,1,0,General Petite,Dresses,Dresses,1,I got petite length size fit right like didnt altered length wear flat plenty clearance floor bottom hem beef design height waist personally think elastic waistband look cheap really need concealed belt yet sits high literally right bustline tricky one pull wide belt sort th,4,1,Positive
59,368,52,Soft and comfortable,Ive looking bralettes provide support bindingtight night time casual wear light weight bra could little supportive pretty color nice line downside retailer tag back itchy need remove,4,1,1,Initmates,Intimate,Intimates,1,Ive looking bralettes provide support bindingtight night time casual wear light weight bra could little supportive pretty color nice line downside retailer tag back itchy need remove,4,1,Positive
60,1095,41,Gorgeous dress!,This dress simply beautiful stunning figure flattering cant wait wear size small worked since im tall fell right ankle perfect could happier purchase keyhole back beautiful detail,5,1,0,General Petite,Dresses,Dresses,1,This dress simply beautiful stunning figure flattering cant wait wear size small worked since im tall fell right ankle perfect could happier purchase keyhole back beautiful detail,5,1,Positive
61,368,36,Itchy tags,tag sewn small long huge x itchy cut thread left behind plasticy even itchy make intimate item itchy tag comfortable also love bralettes wear time including work b cup however one thin flimsy give support even b cup would lounging bralette wasnt itchy,1,0,0,Initmates,Intimate,Intimates,-1,tag sewn small long huge x itchy cut thread left behind plasticy even itchy make intimate item itchy tag comfortable also love bralettes wear time including work b cup however one thin flimsy give support even b cup would lounging bralette wasnt itchy,1,1,Positive
62,862,28,Must have,I recently got sale looking forever wish list im happy comfortable long enough torso pattern front flattering,5,1,0,General,Tops,Knits,1,I recently got sale looking forever wish list im happy comfortable long enough torso pattern front flattering,5,1,Positive
63,862,57,Cute top! love the brand,Very comfortable shirt light weight top lovely floral color great springsummer white jean love everything one september make,5,1,1,General,Tops,Knits,1,Very comfortable shirt light weight top lovely floral color great springsummer white jean love everything one september make,5,1,Positive
64,862,43,Love this top,Loved top really happy find sale,5,1,0,General,Tops,Knits,1,Loved top really happy find sale,5,-1,Negative
65,862,58,,Beautiful top delicate wore school strap backpack caused pilling beautiful vibrant make sure arent doingwearing anything rub continuously since fabric delicate,4,1,2,General,Tops,Knits,1,Beautiful top delicate wore school strap backpack caused pilling beautiful vibrant make sure arent doingwearing anything rub continuously since fabric delicate,4,1,Positive
66,862,60,Super cute and unique top,Just received mail tried smitten im usually l sometimes im xl stretch retailer top bought one l im sure glad flowy stretchy comfortable also bought meda lace top one september similar expect tshirt blouse almost think couldve gotten lot extra fabric chest usually never issue,4,1,9,General,Tops,Knits,1,Just received mail tried smitten im usually l sometimes im xl stretch retailer top bought one l im sure glad flowy stretchy comfortable also bought meda lace top one september similar expect tshirt blouse almost think couldve gotten lot extra fabric chest usually never issue,4,1,Positive
67,862,40,Beautiful top,Love top kept eyeing online wavering size since postbaby body little wonky went xsp miraculously work perfectly would say run little large love length usually go petite size retailer like longer length regular perfect give top look lovely soft comfortable goto top season,5,1,1,General,Tops,Knits,1,Love top kept eyeing online wavering size since postbaby body little wonky went xsp miraculously work perfectly would say run little large love length usually go petite size retailer like longer length regular perfect give top look lovely soft comfortable goto top season,5,1,Positive
68,862,37,I wanted to love this top...,I really loved top online wanted love person soft patter okay person neckline higher used also two button back must unbuttoned order wear top difficult button behind neck top unfortunately return item,2,0,0,General,Tops,Knits,-1,I really loved top online wanted love person soft patter okay person neckline higher used also two button back must unbuttoned order wear top difficult button behind neck top unfortunately return item,2,1,Positive
69,1078,56,Great summer fabric!,I really wanted work ala strange fit strap would stay weird fit breast worked standing minute sat fell shoulder fabric beautiful loved pocket,3,0,1,General Petite,Dresses,Dresses,0,I really wanted work ala strange fit strap would stay weird fit breast worked standing minute sat fell shoulder fabric beautiful loved pocket,3,1,Positive
70,845,38,"Cute, but massive sweep",This top cute massively babydoll shaped line apparent picture measured x chest sweep would definitely keep top hung straighter craftsmanship lovely fabric natural handwoven looking im thinking asking tailor take side might ruin fabric layout cut proportioned swing style,4,1,10,General Petite,Tops,Blouses,1,This top cute massively babydoll shaped line apparent picture measured x chest sweep would definitely keep top hung straighter craftsmanship lovely fabric natural handwoven looking im thinking asking tailor take side might ruin fabric layout cut proportioned swing style,4,1,Positive
71,822,36,Short and boxy,Why designer keep making crop top cant imagine would flattering anyone especially someone average height well endowed top looked like football player pattern fabric gorgeous like tall super tiny fit xx may work fit small huge almost bigger bottom top weird cut cami underneath ride show,2,0,0,General,Tops,Blouses,-1,Why designer keep making crop top cant imagine would flattering anyone especially someone average height well endowed top looked like football player pattern fabric gorgeous like tall super tiny fit xx may work fit small huge almost bigger bottom top weird cut cami underneath ride show,2,1,Positive
72,850,27,Beautiful design,I short torso work well c bought there much stretch fabric fitted chest uncomfortable way definitely doesnt hang extra fabric like model zipper go almost way bottom easier get make lack stretch n fabric unlike another reviewer found went really well navy pant wore business meeting blazer wi,5,1,4,General,Tops,Blouses,1,I short torso work well c bought there much stretch fabric fitted chest uncomfortable way definitely doesnt hang extra fabric like model zipper go almost way bottom easier get make lack stretch n fabric unlike another reviewer found went really well navy pant wore business meeting blazer wi,5,1,Positive
73,866,47,,I love top loose comfortable sheer dont need cami run little large size want tailored fit criticism catch sharp jewelry belt pull careful,4,1,0,General Petite,Tops,Knits,1,I love top loose comfortable sheer dont need cami run little large size want tailored fit criticism catch sharp jewelry belt pull careful,4,1,Positive
74,1081,59,,I passed dress many time store finally tried today wanted casual dress traveling cape surprised much cuter hanger sized get fitting look really made difference style fan way looked loose model look really cute fitted bit sexy even lined comfy dressed work cardi believe get lot wear,5,1,1,General Petite,Dresses,Dresses,1,I passed dress many time store finally tried today wanted casual dress traveling cape surprised much cuter hanger sized get fitting look really made difference style fan way looked loose model look really cute fitted bit sexy even lined comfy dressed work cardi believe get lot wear,5,1,Positive
75,845,48,Very very cute but a lot of fabric,I drawn baby doll boxy shirt immediately tried store petite usually shirt lot fabric swallow whole one still cute lot fabric picture let think still super cute flattering would definitely check size chart read comment see someone size description recommended specific size body type petite weigh lb,5,1,5,General Petite,Tops,Blouses,1,I drawn baby doll boxy shirt immediately tried store petite usually shirt lot fabric swallow whole one still cute lot fabric picture let think still super cute flattering would definitely check size chart read comment see someone size description recommended specific size body type petite weigh lb,5,1,Positive
76,1082,31,Runs large in top and waist,I would loved dress bust waist little fitted c top big fit perfectly hip lace material mean cannot easily altered chose return dress would definitely kept better fit,4,1,0,General,Dresses,Dresses,1,I would loved dress bust waist little fitted c top big fit perfectly hip lace material mean cannot easily altered chose return dress would definitely kept better fit,4,1,Positive
77,850,28,Zipper broke,The zipper broke piece first time wore disappointing since love design im actually going try replace zipper something stronger annoying come,2,0,0,General Petite,Tops,Blouses,-1,The zipper broke piece first time wore disappointing since love design im actually going try replace zipper something stronger annoying come,2,1,Positive
78,836,47,Obsessed,I usually size brand small perfect lb top luxurious casual feel beautiful obsessed want wear everyday wear little long drapey little tight roll arm,5,1,1,General,Tops,Blouses,1,I usually size brand small perfect lb top luxurious casual feel beautiful obsessed want wear everyday wear little long drapey little tight roll arm,5,-1,Negative
79,1081,62,So cute...but dry clean?!,This dress adorable perfect casual look summer quality nice lining though still overpriced opinion tie detail somewhat adjustable found normal size fit fine get fact dry cleantotally doesnt make sense dress essentially fancy tshirt summer might bring back alone since originally planned wear lot,4,1,2,General Petite,Dresses,Dresses,1,This dress adorable perfect casual look summer quality nice lining though still overpriced opinion tie detail somewhat adjustable found normal size fit fine get fact dry cleantotally doesnt make sense dress essentially fancy tshirt summer might bring back alone since originally planned wear lot,4,1,Positive
80,1072,68,Elegant classic dress,I usually petite since dress come petite tried fit im lb dress hit rt knee hemmed bit overwhelming dress look stunning great vibrant color dark hair make classic elegant dress look contemporary stylish tried store salesperson others happen see raved told grab glad plan wear spring daughte,5,1,1,General,Dresses,Dresses,1,I usually petite since dress come petite tried fit im lb dress hit rt knee hemmed bit overwhelming dress look stunning great vibrant color dark hair make classic elegant dress look contemporary stylish tried store salesperson others happen see raved told grab glad plan wear spring daughte,5,1,Positive
81,863,61,,Loved top great design comfortable unique soft material,5,1,4,General Petite,Tops,Knits,1,Loved top great design comfortable unique soft material,5,1,Positive
82,1133,33,Cute parka!,The rest reviewer right color accurately pictured ordered dark orange color recieved dark cedar brown colored jacket print great love different jacket ive seen jacket ã¼ber cute bit bulky though waist tie help heavy winter appropriate waterproof heavily insulated average winter day though fun option removable v,5,1,0,General,Jackets,Outerwear,1,The rest reviewer right color accurately pictured ordered dark orange color recieved dark cedar brown colored jacket print great love different jacket ive seen jacket ã¼ber cute bit bulky though waist tie help heavy winter appropriate waterproof heavily insulated average winter day though fun option removable v,5,1,Positive
83,822,68,Just lovely,I purchased top antro store last week quality wonderful greenish blue color unique blouse beautiful stretchy camsiole attached shoulder removed snap tooks great worn two different way wore campole peek blouse bottom also look great camisole worn wish would come petite size touch big shoulder neckli,5,1,3,General,Tops,Blouses,1,I purchased top antro store last week quality wonderful greenish blue color unique blouse beautiful stretchy camsiole attached shoulder removed snap tooks great worn two different way wore campole peek blouse bottom also look great camisole worn wish would come petite size touch big shoulder neckli,5,1,Positive
84,861,37,Casual & unique tee,I received shirt typical x fit perfectly im crazy love also dont dislike shirt thin side need wear cami underneath concern hole remind material could develop hole wear wash said ill wash shirt cold water hang dry hopefully prevent hole developing length fine like slit frontit add little dim,3,1,0,General Petite,Tops,Knits,0,I received shirt typical x fit perfectly im crazy love also dont dislike shirt thin side need wear cami underneath concern hole remind material could develop hole wear wash said ill wash shirt cold water hang dry hopefully prevent hole developing length fine like slit frontit add little dim,3,1,Positive
